               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12982,             0.11935,                   0,                   0,                   0,                   0,                   0,             0.12898,             0.11322,                   0,                 0.1,                   0,                   0
                   1,             0.12718,             0.11657,                   0,                   0,                   0,                   0,                   0,             0.13025,             0.11143,                   0,              0.0991,          9.9753e-05,          9.9753e-05
                   2,             0.12844,             0.10624,                   0,                   0,                   0,                   0,                   0,             0.12998,              0.1098,                   0,            0.098199,          0.00019901,          0.00019901
                   3,             0.12635,             0.11374,                   0,                   0,                   0,                   0,                   0,             0.12936,             0.10781,                   0,            0.097298,          0.00029777,          0.00029777
                   4,             0.12898,             0.13266,                   0,                   0,                   0,                   0,                   0,             0.12849,             0.10474,                   0,            0.096396,          0.00039604,          0.00039604
                   5,             0.12574,             0.11282,                   0,                   0,                   0,                   0,                   0,             0.12678,             0.10296,                   0,            0.095494,          0.00049381,          0.00049381
                   6,             0.12558,             0.11642,                   0,                   0,                   0,                   0,                   0,             0.12471,             0.10237,                   0,            0.094591,          0.00059109,          0.00059109
                   7,             0.12093,             0.11614,                   0,                   0,                   0,                   0,                   0,             0.12232,              0.1038,                   0,            0.093688,          0.00068787,          0.00068787
                   8,              0.1181,             0.11913,                   0,                   0,                   0,                   0,                   0,             0.11971,             0.10457,                   0,            0.092784,          0.00078416,          0.00078416
                   9,             0.12045,             0.11824,                   0,           0.0033333,               0.025,           0.0023006,          0.00023006,             0.11941,             0.10234,                   0,             0.09188,          0.00087995,          0.00087995
                  10,             0.11863,             0.12807,                   0,                   0,                   0,                   0,                   0,               0.118,            0.094649,                   0,            0.090975,          0.00097525,          0.00097525
                  11,             0.11273,             0.11051,                   0,                   0,                   0,                   0,                   0,             0.11554,             0.09094,                   0,             0.09007,           0.0010701,           0.0010701
                  12,             0.11059,             0.12483,                   0,            0.055176,               0.175,            0.018988,           0.0033276,              0.1115,             0.09178,                   0,            0.089164,           0.0011644,           0.0011644
                  13,             0.10893,             0.11302,                   0,            0.016667,               0.125,            0.011763,           0.0025306,             0.11024,            0.097382,                   0,            0.088258,           0.0012582,           0.0012582
                  14,             0.10953,             0.11052,                   0,            0.043535,                0.05,            0.021834,           0.0042345,              0.1063,            0.096461,                   0,            0.087351,           0.0013515,           0.0013515
                  15,             0.10463,            0.082701,                   0,            0.050188,             0.18101,            0.027348,           0.0072788,             0.10788,            0.092254,                   0,            0.086444,           0.0014443,           0.0014443
                  16,             0.10822,            0.097404,                   0,             0.12777,               0.175,            0.044891,            0.011743,             0.10768,            0.084968,                   0,            0.085537,           0.0015366,           0.0015366
                  17,             0.10478,            0.095369,                   0,             0.13975,                 0.1,            0.043282,            0.017143,             0.10552,            0.082419,                   0,            0.084628,           0.0016285,           0.0016285
                  18,            0.095678,            0.088542,                   0,             0.16607,                0.15,            0.068388,             0.02022,             0.10439,            0.081539,                   0,             0.08372,           0.0017198,           0.0017198
                  19,             0.10526,            0.091839,                   0,             0.17056,                 0.2,             0.10299,            0.027163,             0.10274,            0.074433,                   0,            0.082811,           0.0018107,           0.0018107
                  20,            0.097664,            0.081693,                   0,              0.1065,                 0.2,             0.08911,            0.018748,             0.10309,            0.068684,                   0,            0.081901,            0.001901,            0.001901
                  21,            0.092381,            0.069872,                   0,             0.26381,               0.425,             0.25781,            0.068406,             0.10355,            0.066567,                   0,            0.080991,           0.0019909,           0.0019909
                  22,            0.099888,            0.091804,                   0,             0.16391,             0.53428,             0.15915,            0.043539,            0.095721,            0.066787,                   0,             0.08008,           0.0020802,           0.0020802
                  23,             0.09128,            0.079857,                   0,             0.21406,               0.475,             0.21069,            0.054936,             0.10021,            0.065527,                   0,            0.079169,           0.0021691,           0.0021691
                  24,            0.095184,            0.072926,                   0,             0.26579,               0.675,             0.25001,            0.073717,             0.09596,            0.064274,                   0,            0.078257,           0.0022574,           0.0022574
                  25,            0.090789,            0.080301,                   0,             0.12039,             0.53725,             0.12926,            0.034392,            0.092678,            0.065578,                   0,            0.077345,           0.0023453,           0.0023453
                  26,            0.089207,            0.070948,                   0,             0.30978,               0.725,             0.32447,             0.08305,             0.10027,            0.062314,                   0,            0.076433,           0.0024327,           0.0024327
                  27,            0.093897,            0.072031,                   0,             0.25613,               0.375,             0.24968,             0.06071,            0.088507,            0.066431,                   0,             0.07552,           0.0025196,           0.0025196
                  28,            0.085227,            0.072405,                   0,             0.15031,               0.525,              0.1377,            0.032492,             0.10285,            0.064508,                   0,            0.074606,            0.002606,            0.002606
                  29,            0.084677,            0.064318,                   0,             0.31056,             0.55183,             0.34255,             0.10219,            0.085372,            0.061916,                   0,            0.073692,           0.0026919,           0.0026919
                  30,            0.078188,            0.054514,                   0,             0.15723,                0.45,             0.17355,            0.046765,             0.10126,            0.061087,                   0,            0.072777,           0.0027773,           0.0027773
                  31,            0.091756,            0.058973,                   0,             0.22733,               0.625,             0.28829,            0.074975,            0.079051,            0.058362,                   0,            0.071862,           0.0028622,           0.0028622
                  32,             0.08244,            0.060658,                   0,             0.39966,                 0.5,             0.38093,              0.1143,             0.09969,            0.056499,                   0,            0.070947,           0.0029466,           0.0029466
                  33,            0.087935,              0.0552,                   0,             0.45288,                0.35,             0.31136,            0.080009,            0.074168,            0.057637,                   0,             0.07003,           0.0030305,           0.0030305
                  34,            0.071287,            0.056606,                   0,             0.35862,               0.425,             0.32791,            0.084126,            0.096101,            0.058245,                   0,            0.069114,           0.0031139,           0.0031139
                  35,            0.084819,            0.066164,                   0,             0.23125,               0.575,             0.28699,            0.075685,            0.080636,            0.058408,                   0,            0.068197,           0.0031968,           0.0031968
                  36,            0.077413,            0.064267,                   0,             0.20569,               0.625,             0.24861,            0.069197,            0.086855,            0.061011,                   0,            0.067279,           0.0032792,           0.0032792
                  37,            0.081288,            0.067639,                   0,             0.29222,             0.56775,             0.26501,            0.054403,            0.089141,            0.060267,                   0,            0.066361,           0.0033612,           0.0033612
                  38,            0.083254,            0.069211,                   0,              0.1947,               0.725,             0.19714,            0.060465,            0.081186,            0.062004,                   0,            0.065443,           0.0034426,           0.0034426
                  39,            0.077431,            0.068096,                   0,             0.27725,               0.625,              0.2708,            0.074838,            0.086614,            0.058994,                   0,            0.064524,           0.0035236,           0.0035236
                  40,            0.080122,            0.062805,                   0,             0.15296,                0.45,             0.12576,            0.041342,            0.084296,              0.0593,                   0,            0.063604,            0.003604,            0.003604
